,NatGasFut1
23-11-2015,2.21
24-11-2015,2.2
25-11-2015,2.206
27-11-2015,2.212
30-11-2015,2.235
01-12-2015,2.231
02-12-2015,2.165
03-12-2015,2.181
04-12-2015,2.186
07-12-2015,2.067
08-12-2015,2.07
09-12-2015,2.062
10-12-2015,2.015
11-12-2015,1.99
14-12-2015,1.894
15-12-2015,1.822
16-12-2015,1.79
17-12-2015,1.755
18-12-2015,1.767
21-12-2015,1.911
22-12-2015,1.888
23-12-2015,1.983
24-12-2015,2.029
28-12-2015,2.228
29-12-2015,2.372
30-12-2015,2.214
31-12-2015,2.337
04-01-2016,2.334
05-01-2016,2.325
06-01-2016,2.267
07-01-2016,2.382
08-01-2016,2.472
11-01-2016,2.396
12-01-2016,2.257
13-01-2016,2.269
14-01-2016,2.139
15-01-2016,2.1
19-01-2016,2.091
20-01-2016,2.118
21-01-2016,2.138
22-01-2016,2.139
25-01-2016,2.158
26-01-2016,2.18
27-01-2016,2.189
28-01-2016,2.182
29-01-2016,2.298
01-02-2016,2.152
02-02-2016,2.025
03-02-2016,2.038
04-02-2016,1.972
05-02-2016,2.063
08-02-2016,2.14
09-02-2016,2.098
10-02-2016,2.046
11-02-2016,1.994
12-02-2016,1.966
16-02-2016,1.903
17-02-2016,1.942
18-02-2016,1.852
19-02-2016,1.804
22-02-2016,1.821
23-02-2016,1.782
24-02-2016,1.778
25-02-2016,1.711
26-02-2016,1.791
29-02-2016,1.711
01-03-2016,1.742
02-03-2016,1.678
03-03-2016,1.639
04-03-2016,1.666
07-03-2016,1.69
08-03-2016,1.712
09-03-2016,1.752
10-03-2016,1.788
11-03-2016,1.822
14-03-2016,1.819
15-03-2016,1.851
16-03-2016,1.868
17-03-2016,1.936
18-03-2016,1.907
21-03-2016,1.828
22-03-2016,1.863
23-03-2016,1.794
24-03-2016,1.806
28-03-2016,1.848
29-03-2016,1.903
30-03-2016,1.996
31-03-2016,1.959
01-04-2016,1.956
04-04-2016,1.998
05-04-2016,1.954
06-04-2016,1.911
07-04-2016,2.018
08-04-2016,1.99
11-04-2016,1.912
12-04-2016,2.004
13-04-2016,2.036
14-04-2016,1.97
15-04-2016,1.902
18-04-2016,1.94
19-04-2016,2.088
20-04-2016,2.069
21-04-2016,2.068
22-04-2016,2.14
25-04-2016,2.063
26-04-2016,2.032
27-04-2016,1.995
28-04-2016,2.078
29-04-2016,2.178
02-05-2016,2.042
03-05-2016,2.086
04-05-2016,2.141
05-05-2016,2.076
06-05-2016,2.101
09-05-2016,2.098
10-05-2016,2.158
11-05-2016,2.173
12-05-2016,2.155
13-05-2016,2.096
16-05-2016,2.029
17-05-2016,2.048
18-05-2016,2.001
19-05-2016,2.039
20-05-2016,2.062
23-05-2016,2.055
24-05-2016,1.98
25-05-2016,1.992
26-05-2016,1.963
27-05-2016,2.169
31-05-2016,2.288
01-06-2016,2.381
03-06-2016,2.398
06-06-2016,2.466
07-06-2016,2.474
08-06-2016,2.468
09-06-2016,2.617
10-06-2016,2.556
13-06-2016,2.585
14-06-2016,2.604
15-06-2016,2.595
16-06-2016,2.58
17-06-2016,2.623
20-06-2016,2.747
21-06-2016,2.768
22-06-2016,2.677
23-06-2016,2.698
24-06-2016,2.662
27-06-2016,2.716
28-06-2016,2.917
29-06-2016,2.863
30-06-2016,2.924
01-07-2016,2.987
05-07-2016,2.764
06-07-2016,2.786
07-07-2016,2.777
08-07-2016,2.801
11-07-2016,2.702
12-07-2016,2.734
13-07-2016,2.737
14-07-2016,2.727
15-07-2016,2.756
18-07-2016,2.722
19-07-2016,2.728
20-07-2016,2.658
21-07-2016,2.692
22-07-2016,2.777
25-07-2016,2.747
26-07-2016,2.712
27-07-2016,2.672
28-07-2016,2.873
29-07-2016,2.876
01-08-2016,2.771
02-08-2016,2.733
03-08-2016,2.839
04-08-2016,2.834
05-08-2016,2.772
08-08-2016,2.748
09-08-2016,2.615
10-08-2016,2.561
11-08-2016,2.551
12-08-2016,2.586
15-08-2016,2.59
16-08-2016,2.617
17-08-2016,2.619
18-08-2016,2.674
19-08-2016,2.584
22-08-2016,2.679
23-08-2016,2.761
24-08-2016,2.796
25-08-2016,2.846
26-08-2016,2.871
29-08-2016,2.853
30-08-2016,2.827
31-08-2016,2.887
01-09-2016,2.792
02-09-2016,2.792
06-09-2016,2.717
07-09-2016,2.676
08-09-2016,2.806
09-09-2016,2.797
12-09-2016,2.915
13-09-2016,2.909
14-09-2016,2.889
15-09-2016,2.927
16-09-2016,2.948
19-09-2016,2.934
20-09-2016,3.047
21-09-2016,3.057
22-09-2016,2.99
23-09-2016,2.955
26-09-2016,2.997
27-09-2016,2.996
28-09-2016,2.952
29-09-2016,2.959
30-09-2016,2.906
03-10-2016,2.923
04-10-2016,2.964
05-10-2016,3.041
06-10-2016,3.049
07-10-2016,3.193
11-10-2016,3.237
12-10-2016,3.21
13-10-2016,3.341
14-10-2016,3.285
17-10-2016,3.244
18-10-2016,3.263
19-10-2016,3.17
20-10-2016,3.141
21-10-2016,2.993
24-10-2016,2.831
25-10-2016,2.774
26-10-2016,2.731
27-10-2016,2.764
28-10-2016,3.105
31-10-2016,3.026
01-11-2016,2.902
02-11-2016,2.792
03-11-2016,2.769
04-11-2016,2.767
07-11-2016,2.816
08-11-2016,2.633
09-11-2016,2.69
10-11-2016,2.632
14-11-2016,2.749
15-11-2016,2.709
16-11-2016,2.764
17-11-2016,2.703
18-11-2016,2.843
21-11-2016,2.95
22-11-2016,2.982
23-11-2016,3.026
28-11-2016,3.232
29-11-2016,3.315
30-11-2016,3.352
01-12-2016,3.505
02-12-2016,3.436
05-12-2016,3.654
06-12-2016,3.635
07-12-2016,3.603
08-12-2016,3.695
09-12-2016,3.746
12-12-2016,3.507
13-12-2016,3.474
14-12-2016,3.54
16-12-2016,3.415
19-12-2016,3.392
20-12-2016,3.263
21-12-2016,3.542
22-12-2016,3.538
23-12-2016,3.662
27-12-2016,3.761
28-12-2016,3.93
29-12-2016,3.802
30-12-2016,3.724
03-01-2017,3.327
04-01-2017,3.267
05-01-2017,3.273
06-01-2017,3.285
09-01-2017,3.103
10-01-2017,3.278
11-01-2017,3.224
12-01-2017,3.386
13-01-2017,3.419
17-01-2017,3.412
18-01-2017,3.302
19-01-2017,3.368
20-01-2017,3.204
23-01-2017,3.243
24-01-2017,3.279
25-01-2017,3.332
26-01-2017,3.382
27-01-2017,3.391
30-01-2017,3.232
31-01-2017,3.117
01-02-2017,3.168
02-02-2017,3.187
03-02-2017,3.063
06-02-2017,3.05
07-02-2017,3.13
08-02-2017,3.126
09-02-2017,3.141
10-02-2017,3.034
13-02-2017,2.944
14-02-2017,2.905
15-02-2017,2.925
16-02-2017,2.854
17-02-2017,2.834
21-02-2017,2.564
22-02-2017,2.592
23-02-2017,2.617
24-02-2017,2.627
27-02-2017,2.693
28-02-2017,2.774
01-03-2017,2.799
02-03-2017,2.804
03-03-2017,2.827
06-03-2017,2.901
07-03-2017,2.824
08-03-2017,2.901
09-03-2017,2.974
10-03-2017,3.008
13-03-2017,3.043
14-03-2017,2.938
15-03-2017,2.981
16-03-2017,2.902
17-03-2017,2.948
20-03-2017,3.041
21-03-2017,3.093
22-03-2017,3.011
23-03-2017,3.051
24-03-2017,3.076
27-03-2017,3.052
28-03-2017,3.096
29-03-2017,3.175
30-03-2017,3.191
31-03-2017,3.19
03-04-2017,3.128
04-04-2017,3.293
05-04-2017,3.266
06-04-2017,3.331
07-04-2017,3.261
10-04-2017,3.238
11-04-2017,3.15
12-04-2017,3.187
13-04-2017,3.227
17-04-2017,3.163
18-04-2017,3.145
19-04-2017,3.185
20-04-2017,3.159
21-04-2017,3.101
24-04-2017,3.066
25-04-2017,3.043
26-04-2017,3.142
27-04-2017,3.239
28-04-2017,3.276
01-05-2017,3.215
02-05-2017,3.195
03-05-2017,3.228
04-05-2017,3.186
05-05-2017,3.266
08-05-2017,3.172
09-05-2017,3.227
10-05-2017,3.292
11-05-2017,3.376
12-05-2017,3.424
15-05-2017,3.349
16-05-2017,3.23
17-05-2017,3.192
18-05-2017,3.182
19-05-2017,3.256
22-05-2017,3.33
23-05-2017,3.219
24-05-2017,3.209
25-05-2017,3.184
26-05-2017,3.236
30-05-2017,3.145
31-05-2017,3.071
01-06-2017,3.008
02-06-2017,2.999
05-06-2017,2.982
06-06-2017,3.042
07-06-2017,3.02
08-06-2017,3.028
09-06-2017,3.039
12-06-2017,3.024
13-06-2017,2.966
14-06-2017,2.933
15-06-2017,3.056
16-06-2017,3.037
19-06-2017,2.894
20-06-2017,2.907
21-06-2017,2.893
22-06-2017,2.894
23-06-2017,2.929
26-06-2017,3.027
27-06-2017,3.037
28-06-2017,3.067
29-06-2017,3.042
30-06-2017,3.035
03-07-2017,2.951
05-07-2017,2.84
06-07-2017,2.888
07-07-2017,2.864
10-07-2017,2.929
11-07-2017,3.047
12-07-2017,2.985
13-07-2017,2.961
14-07-2017,2.98
17-07-2017,3.02
18-07-2017,3.088
19-07-2017,3.066
20-07-2017,3.043
21-07-2017,2.97
24-07-2017,2.899
25-07-2017,2.944
26-07-2017,2.924
27-07-2017,2.969
28-07-2017,2.941
31-07-2017,2.794
01-08-2017,2.819
02-08-2017,2.811
03-08-2017,2.8
04-08-2017,2.774
07-08-2017,2.801
08-08-2017,2.822
09-08-2017,2.883
10-08-2017,2.985
11-08-2017,2.983
14-08-2017,2.959
15-08-2017,2.935
16-08-2017,2.89
17-08-2017,2.929
18-08-2017,2.893
21-08-2017,2.962
22-08-2017,2.939
23-08-2017,2.928
24-08-2017,2.949
25-08-2017,2.892
28-08-2017,2.925
29-08-2017,2.961
30-08-2017,2.939
31-08-2017,3.04
01-09-2017,3.07
05-09-2017,2.972
06-09-2017,3
07-09-2017,2.981
08-09-2017,2.89
11-09-2017,2.95
12-09-2017,3.001
13-09-2017,3.058
14-09-2017,3.07
15-09-2017,3.024
18-09-2017,3.146
19-09-2017,3.122
20-09-2017,3.094
21-09-2017,2.946
22-09-2017,2.959
25-09-2017,2.919
26-09-2017,2.918
27-09-2017,2.974
28-09-2017,3.017
29-09-2017,3.007
02-10-2017,2.916
03-10-2017,2.895
04-10-2017,2.94
05-10-2017,2.923
06-10-2017,2.863
10-10-2017,2.891
11-10-2017,2.889
12-10-2017,2.989
13-10-2017,3
16-10-2017,2.946
17-10-2017,2.962
18-10-2017,2.854
19-10-2017,2.873
20-10-2017,2.915
23-10-2017,2.991
24-10-2017,2.974
25-10-2017,2.919
26-10-2017,2.89
27-10-2017,2.752
30-10-2017,2.966
31-10-2017,2.896
01-11-2017,2.893
02-11-2017,2.935
03-11-2017,2.984
06-11-2017,3.134
07-11-2017,3.152
08-11-2017,3.175
09-11-2017,3.2
13-11-2017,3.167
14-11-2017,3.102
