tradedate,mean_price
2/16/04,42.754547
2/17/04,41.143639
2/18/04,47.401112
2/19/04,47.095455
2/20/04,42.575001
2/23/04,42.234547
2/24/04,46.709091
2/25/04,52.298183
2/26/04,44.37125
2/27/04,42.910908
03-01-2004,43.392727
03-02-2004,46.100834
03-03-2004,48.263638
03-04-2004,48.468182
03-05-2004,39.681
03-08-2004,42.654545
03-09-2004,46.925835
03-10-2004,47.234547
03-11-2004,48.074547
03-12-2004,40.070999
3/15/04,40.717274
3/16/04,46.41
3/17/04,45.779091
3/18/04,45.873634
3/19/04,39.993999
3/22/04,39.470001
3/23/04,47.796364
3/24/04,45.550911
3/25/04,46.392727
3/26/04,38.48
3/28/04,38.48
3/29/04,39.457272
3/30/04,45.116154
3/31/04,50.906666
04-01-2004,49.990002
04-02-2004,42.745556
04-05-2004,40.884544
04-06-2004,44.636925
04-07-2004,49.106998
04-08-2004,40.964001
04-09-2004,40.964001
04-12-2004,41.833572
4/13/04,41.833572
4/14/04,41.833572
4/15/04,50.073334
4/16/04,43.209999
4/19/04,42.756001
4/20/04,46.542309
4/21/04,46.955456
4/22/04,48.913002
4/23/04,37.43
4/26/04,38.611
4/27/04,45.066666
4/28/04,47.629089
4/29/04,52.067272
4/30/04,42.186001
05-03-2004,40.239998
05-04-2004,44.796665
05-05-2004,46.41
05-06-2004,48.359093
05-07-2004,44.051998
05-10-2004,41.487274
05-11-2004,46.01923
05-12-2004,50.869091
5/13/04,53.394547
5/14/04,44.292
5/17/04,41.396362
5/18/04,47.064167
5/19/04,50.980999
5/20/04,50.978889
5/21/04,42.918751
5/24/04,35.603333
5/25/04,39.686668
5/26/04,49.758999
5/27/04,49.758999
5/28/04,42.932728
06-01-2004,46.84
06-02-2004,50.48
06-03-2004,50.385834
06-04-2004,40.163002
06-07-2004,39.374001
06-08-2004,42.915833
06-09-2004,43.952728
06-10-2004,47.094543
06-11-2004,42.092999
6/14/04,42.069092
6/15/04,46.700832
6/16/04,51.692726
6/17/04,55.68
6/18/04,50.014
6/21/04,47.002728
6/22/04,49.203335
6/23/04,52.167274
6/24/04,56.065453
6/25/04,45.550907
6/28/04,46.776669
6/29/04,62.640999
6/30/04,65.864998
07-02-2004,45.392727
07-06-2004,52.791817
07-07-2004,57.630909
07-08-2004,59.494545
07-09-2004,48.569
07-12-2004,49.153637
7/13/04,53.615833
7/14/04,56.126366
7/15/04,58.799091
7/16/04,56.112
7/19/04,55.841816
7/20/04,54.561668
7/21/04,55.067272
7/22/04,57.932499
7/23/04,54.705002
7/26/04,54.664444
7/27/04,52.008331
7/28/04,53.301109
7/29/04,52.014999
7/30/04,50.332001
08-02-2004,47.74818
08-03-2004,48.619167
08-04-2004,49.575455
08-05-2004,49.170834
08-06-2004,53.638
08-09-2004,53.284546
08-10-2004,52.262726
08-11-2004,50.912727
08-12-2004,56.312729
8/13/04,55.355999
8/16/04,50.504547
8/17/04,48.635002
8/18/04,47.810909
8/19/04,50.408184
8/20/04,51.48
8/23/04,48.864544
8/24/04,48.67923
8/25/04,48.123001
8/26/04,51.482727
8/27/04,47.681252
8/30/04,52.154442
8/31/04,48.086666
09-01-2004,45.523335
09-03-2004,46.14909
09-07-2004,46.794998
09-08-2004,48.345455
09-09-2004,55.376366
09-10-2004,46.875999
9/13/04,46.569092
9/14/04,46.345833
9/15/04,44.743637
9/16/04,46.127274
9/17/04,48.343998
9/20/04,48.633999
9/21/04,49.432499
9/22/04,45.553635
9/23/04,45.935455
9/24/04,50.588001
9/27/04,50.040001
9/28/04,43.506668
9/29/04,49.996666
9/30/04,47.556667
10-01-2004,47.068001
10-04-2004,39.620998
10-05-2004,47.386665
10-06-2004,48.075455
10-07-2004,51.538002
10-08-2004,54.199089
10-12-2004,49.192726
10/13/04,51.024548
10/14/04,49.397274
10/15/04,47.027779
10/18/04,46.160999
10/21/04,56.996666
10/22/04,53.771999
10/25/04,51.737499
10/26/04,51.075001
10/27/04,50.668999
