"County","Sector","2016","2015","2014","2013","2012","2011","2010","Total Usage"
"CONTRA COSTA","Non-Residential","     977.856282","     934.731221","     950.172157","     901.008228","     912.825838","     885.015196","     807.264677","    6368.873599"
"CONTRA COSTA","Residential","     158.267285","     152.683103","     148.652346","     185.270144","     179.469809","     194.770744","     186.936202","    1206.049633"
"CONTRA COSTA","Total","    1136.123566","    1087.414324","    1098.824503","    1086.278372","    1092.295647","    1079.785940","     994.200879","    7574.923231"
"EL DORADO","Non-Residential","       9.130866","       8.604722","       8.184275","       8.455449","       7.940685","       8.648517","       8.315997","      59.280511"
"EL DORADO","Residential","      21.536542","      20.287840","      19.276144","      22.931901","      21.571106","      24.220475","      23.017424","     152.841432"
"EL DORADO","Total","      30.667408","      28.892562","      27.460419","      31.387350","      29.511791","      32.868992","      31.333421","     212.121943"
"FRESNO","Non-Residential","     186.284272","     200.412499","     196.190613","     173.242461","     182.824626","     174.033618","     167.425064","    1280.413153"
"FRESNO","Residential","      98.004843","      97.466723","      94.600328","     111.737258","     110.680176","     117.879175","     114.347567","     744.716070"
"FRESNO","Total","     284.289115","     297.879222","     290.790941","     284.979719","     293.504802","     291.912793","     281.772631","    2025.129223"
"GLENN","Non-Residential","       5.838263","       6.159543","       5.767923","       5.451051","       5.128806","       5.578008","       5.084787","      39.008381"
"GLENN","Residential","       2.295022","       2.172447","       2.139741","       2.643611","       2.560315","       2.751844","       2.673991","      17.236971"
"GLENN","Total","       8.133285","       8.331990","       7.907665","       8.094662","       7.689121","       8.329852","       7.758778","      56.245353"
"HUMBOLDT","Non-Residential","      11.166013","      11.457358","      11.211082","      13.102088","      13.140083","      12.401441","      12.031837","      84.509902"
"HUMBOLDT","Residential","      18.029718","      17.320820","      17.469944","      22.092745","      21.547650","      21.720820","      21.216467","     139.398164"
"HUMBOLDT","Total","      29.195731","      28.778178","      28.681025","      35.194833","      34.687733","      34.122261","      33.248304","     223.908065"
"IMPERIAL","Non-Residential","      28.708365","      24.216066","      26.330102","      29.184941","      29.745181","      23.671924","      23.015242","     184.871821"
"IMPERIAL","Residential","       7.381508","       7.278246","       7.263473","       7.947441","       7.618850","       7.844094","       7.765831","      53.099443"
"IMPERIAL","Total","      36.089873","      31.494312","      33.593575","      37.132382","      37.364031","      31.516018","      30.781073","     237.971264"
"KERN","Non-Residential","    2722.318383","    2620.702884","    2628.990172","    2602.618031","    2217.327072","    2268.291994","    2224.336922","   17284.585458"
"KERN","Residential","      90.013296","      88.872363","      85.636394","     102.999363","      99.266742","     107.159190","     102.325966","     676.273314"
"KERN","Total","    2812.331679","    2709.575247","    2714.626567","    2705.617394","    2316.593814","    2375.451184","    2326.662888","   17960.858773"
"KINGS","Non-Residential","      53.542535","      53.821118","      53.277644","      54.262619","      52.746648","      54.510601","      53.025599","     375.186764"
"KINGS","Residential","      13.432762","      13.581194","      13.056814","      15.260734","      15.151474","      16.513238","      15.676122","     102.672338"
"KINGS","Total","      66.975297","      67.402312","      66.334458","      69.523353","      67.898122","      71.023839","      68.701721","     477.859102"
"LAKE","Non-Residential","","","","       0.000000","       0.000000","       0.000000","",""
"LAKE","Residential","","","","       0.000439","       0.001157","       0.000546","",""
"LAKE","Total","","","","       0.000439","       0.001157","       0.000546","",""
"LASSEN","Non-Residential","       1.083104","       0.814387","       0.003571","       0.000148","","","",""
"LASSEN","Residential","       1.029439","       0.714027","       0.002235","       0.000025","","","",""
"LASSEN","Total","       2.112543","       1.528414","       0.005807","       0.000173","","","",""
"LOS ANGELES","Non-Residential","    1758.276566","    1676.162503","    1715.123900","    1743.516446","    1704.418350","    1686.163135","    1698.516585","   11982.177485"
"LOS ANGELES","Residential","    1110.870210","    1084.702447","    1078.650081","    1321.880395","    1280.721545","    1368.975316","    1348.551301","    8594.351295"
"LOS ANGELES","Total","    2869.146776","    2760.864951","    2793.773981","    3065.396842","    2985.139895","    3055.138451","    3047.067886","   20576.528782"
"MADERA","Non-Residential","      46.656394","      43.571357","      40.663561","      37.777461","      36.634977","      36.033666","      34.161315","     275.498731"
"MADERA","Residential","       7.560923","       7.678318","       7.253987","       8.825323","       8.579230","       9.155796","       8.714132","      57.767709"
