"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"2015F","AK","WWISB","1745","1882","1818","1769","1801","1624","1713","2003","1834","1503","823","868","840","949","968","964","261","260","270","6086","4606","4527","4597","3296","5479","5631","5413","1653","175","35","34","6","122","57","75","36","73","103","58","78","78","74","71","98","124","83"
"2015F","AK","WWIXB","1970","2125","2052","1998","2034","1833","1934","2262","2071","1697","929","981","949","1072","1093","1089","244","234","239","116","1874","1657","2300","1562","2078","572","451","194","66","69","67","12","32","21","22","16","22","26","13","16","12","43","38","30","30","30"
"2015F","AK","WYCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AK","WYICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","CLOSB","57244","62563","61927","56818","55588","59653","39195","41483","45305","63109","57179","56081","66913","68198","73922","62496","63776","65799","71662","57111","55205","60654","77284","55658","59015","56797","63086","67569","60743","58125","57089","58709","54638","52621","53451","46044","44487","42514","43470","33996","34409","32194","33698","37892","42827","34834"
"2015F","AL","CLRFB","0","0","0","0","0","0","0","0","0","0","0","51","558","85","1023","725","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","COICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","DFISB","16449","15521","21594","25183","26162","25698","38497","39624","39762","27642","19077","26214","22410","24904","19721","15116","17626","16245","16222","21286","26646","23776","23648","22290","26083","25551","29542","25608","21611","21675","17031","18636","19055","40834","39617","37674","32244","28265","31754","24045","22192","23698","30052","23090","19868","21771"
"2015F","AL","DFRFB","56","29","175","234","336","371","396","910","385","486","474","256","102","49","29","11","19","43","9","49","32","27","40","26","35","39","61","43","72","57","67","55","35","42","79","73","84","72","66","77","62","58","122","17","12","35"
"2015F","AL","EMLCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","ESISB","60357","60711","67982","72580","73709","69002","78196","85668","90993","95972","88618","77314","62676","62701","76461","76206","75155","79355","84024","85504","86341","87734","92649","94730","96850","99874","106080","103355","106659","109883","111171","100185","102378","107139","111277","113469","112759","111594","107510","88989","96652","101232","101744","114289","116895","113105"
"2015F","AL","ESRFB","1200","1287","887","855","833","852","2828","2073","988","1061","2510","7424","5434","4968","6734","6292","6889","7576","7273","7412","7890","7753","7924","9417","12058","12201","8299","7935","7778","7944","8366","8825","8905","8927","10174","10314","11031","11826","11875","11449","13725","13874","13415","1276","1280","1194"
"2015F","AL","GECCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","GEICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","42","42","42","30","33","37","38","41","49","41","42","42","42","42","42","42"
